Dex #,Name,Type1,Type2,MaxCP,Att,Def,Sta
1,BULBASAUR,grass,poison,1115,118,111,128
2,IVYSAUR,grass,poison,1699,151,143,155
3,VENUSAUR,grass,poison,2720,198,189,190
4,CHARMANDER,fire,,980,116,93,118
5,CHARMELEON,fire,,1653,158,126,151
6,CHARIZARD,fire,flying,2889,223,173,186
7,SQUIRTLE,water,,946,94,121,127
8,WARTORTLE,water,,1488,126,155,153
9,BLASTOISE,water,,2466,171,207,188
10,CATERPIE,bug,,437,55,55,128
11,METAPOD,bug,,450,45,80,137
12,BUTTERFREE,bug,flying,1827,167,137,155
13,WEEDLE,bug,poison,456,63,50,120
14,KAKUNA,bug,poison,432,46,75,128
15,BEEDRILL,bug,poison,1846,169,130,163
16,PIDGEY,normal,flying,680,85,73,120
17,PIDGEOTTO,normal,flying,1194,117,105,160
18,PIDGEOT,normal,flying,2129,166,154,195
19,RATTATA,normal,,734,103,70,102
20,RATICATE,normal,,1730,161,139,146
21,SPEAROW,normal,flying,798,112,60,120
22,FEAROW,normal,flying,1997,182,133,163
23,EKANS,poison,,927,110,97,111
24,ARBOK,poison,,1921,167,153,155
25,PIKACHU,electric,,938,112,96,111
26,RAICHU,electric,,2182,193,151,155
27,SANDSHREW,ground,,1261,126,120,137
28,SANDSLASH,ground,,2374,182,175,181
29,NIDORAN F,poison,,816,86,89,146
30,NIDORINA,poison,,1309,117,120,172
31,NIDOQUEEN,poison,ground,2488,180,173,207
32,NIDORAN M,poison,,860,105,76,130
33,NIDORINO,poison,,1393,137,111,156
34,NIDOKING,poison,ground,2567,204,156,191
35,CLEFAIRY,fairy,,1155,107,108,172
36,CLEFABLE,fairy,,2437,178,162,216
37,VULPIX,fire,,883,96,109,116
38,NINETALES,fire,,2279,169,190,177
39,JIGGLYPUFF,normal,fairy,724,80,41,251
40,WIGGLYTUFF,normal,fairy,1926,156,90,295
41,ZUBAT,poison,flying,667,83,73,120
42,GOLBAT,poison,flying,1976,161,150,181
43,ODDISH,grass,poison,1228,131,112,128
44,GLOOM,grass,poison,1681,153,136,155
45,VILEPLUME,grass,poison,2559,202,167,181
46,PARAS,bug,grass,1018,121,99,111
47,PARASECT,bug,grass,1859,165,146,155
48,VENONAT,bug,poison,1004,100,100,155
49,VENOMOTH,bug,poison,2082,179,143,172
50,DIGLETT,ground,,676,109,78,67
51,DUGTRIO,ground,,1557,167,134,111
52,MEOWTH,normal,,748,92,78,120
53,PERSIAN,normal,,1689,150,136,163
54,PSYDUCK,water,,1106,122,95,137
55,GOLDUCK,water,,2450,191,162,190
